date,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,測站最高氣壓(hPa)StnPresMax,測站最高氣壓時間(LST)StnPresMaxTime,測站最低氣壓(hPa)StnPresMin,測站最低氣壓時間(LST)StnPresMinTime,Temperature,最高氣溫(℃)T Max,最高氣溫時間(LST)T Max Time,最低氣溫(℃)T Min,最低氣溫時間(LST)T Min Time,露點溫度(℃)Td dew point,相對溼度(%)RH,最小相對溼度(%)RHMin,最小相對溼度時間(LST)RHMinTime,風速(m/s)WS,風向(最多風向)(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,最大陣風風速時間(LST)WGustTime,降水量(mm)Precp,降水時數(hr)PrecpHour,10分鐘最大降水量(mm)PrecpMax10,10分鐘最大降水起始時間(LST)PrecpMax10Time,一小時最大降水量(mm)PrecpHrMax,一小時最大降水量起始時間(LST)PrecpHrMaxTime,日照時數(hr)SunShine,日照率(%)SunShineRate,全天空日射量(MJ/㎡)GloblRad,能見度(km)VisbMean,A型蒸發量(mm)EvapA
2012-06-19,996.8,999.8,998.4,2012-06-19 00:01,995.0,2012-06-19 14:08,26.4,29.0,2012-06-19 10:33,24.7,2012-06-19 19:58,25.3,94,85,2012-06-19 12:01,4.2,170.0,17.4,190.0,2012-06-19 15:59,60.5,11.3,11.0,2012-06-19 19:41,13.0,2012-06-19 19:42,0.1,0.7,7.48,6.6,
2012-06-20,995.9,998.9,1001.5,2012-06-20 23:10,993.0,2012-06-20 11:43,25.7,27.6,2012-06-20 13:26,23.3,2012-06-20 23:50,24.8,94,87,2012-06-20 13:26,6.9,190.0,24.2,190.0,2012-06-20 11:11,102.5,17.6,14.5,2012-06-20 17:53,27.5,2012-06-20 17:33,0.0,0.0,0.08,4.9,
2012-06-21,1002.9,1006.0,1005.7,2012-06-21 22:39,1000.2,2012-06-21 02:52,25.1,26.7,2012-06-21 12:28,23.2,2012-06-21 01:14,24.4,96,91,2012-06-21 13:04,2.7,170.0,10.1,170.0,2012-06-21 20:21,32.0,12.7,4.0,2012-06-21 14:37,6.0,2012-06-21 13:48,0.0,0.0,4.62,6.8,
2012-06-22,1004.6,1007.7,1005.8,2012-06-22 21:33,1003.6,2012-06-22 15:13,27.2,30.1,2012-06-22 12:53,24.7,2012-06-22 00:01,25.1,89,80,2012-06-22 16:37,3.7,180.0,10.5,210.0,2012-06-22 13:46,11.5,4.2,3.0,2012-06-22 09:51,4.0,2012-06-22 09:20,3.1,23.0,16.29,11.0,
2012-06-23,1003.9,1006.9,1005.3,2012-06-23 00:01,1002.6,2012-06-23 16:21,27.3,31.0,2012-06-23 14:02,25.7,2012-06-23 04:49,25.3,89,75,2012-06-23 14:00,3.7,160.0,15.0,230.0,2012-06-23 14:58,19.5,2.7,7.5,2012-06-23 15:01,8.5,2012-06-23 15:01,3.1,23.0,16.84,8.0,
2012-06-24,1004.1,1007.2,1004.9,2012-06-24 00:25,1003.3,2012-06-24 17:08,28.5,32.1,2012-06-24 11:59,25.4,2012-06-24 03:44,24.7,80,66,2012-06-24 12:08,3.7,190.0,9.4,210.0,2012-06-24 13:22,2.0,0.2,2.0,2012-06-24 01:56,2.0,2012-06-24 01:56,8.6,63.7,26.51,9.8,
2012-06-25,1003.6,1006.7,1004.5,2012-06-25 08:04,1002.2,2012-06-25 16:59,28.8,31.9,2012-06-25 13:11,26.4,2012-06-25 04:27,25.1,81,67,2012-06-25 13:09,3.1,200.0,8.6,230.0,2012-06-25 11:42,0.0,0.0,0.0,,0.0,,8.9,65.9,25.12,12.8,
2012-06-26,1003.4,1006.4,1004.6,2012-06-26 21:49,1002.2,2012-06-26 16:48,28.9,31.6,2012-06-26 14:24,27.0,2012-06-26 03:20,25.2,81,71,2012-06-26 12:00,3.2,210.0,10.3,200.0,2012-06-26 13:11,0.0,0.0,0.0,,0.0,,9.1,67.4,25.83,10.4,
2012-06-27,1003.7,1006.8,1004.7,2012-06-27 09:14,1002.6,2012-06-27 15:27,29.4,32.7,2012-06-27 10:52,26.8,2012-06-27 04:30,24.8,77,62,2012-06-27 10:47,2.0,260.0,8.4,300.0,2012-06-27 14:06,T,0.3,-9.8,2012-06-27 20:45,-9.8,2012-06-27 20:35,11.2,83.0,29.74,11.3,
2012-06-28,1000.5,1003.6,1004.2,2012-06-28 00:01,997.4,2012-06-28 17:39,29.5,33.0,2012-06-28 11:18,27.6,2012-06-28 04:38,25.1,78,65,2012-06-28 11:05,3.4,360.0,12.4,360.0,2012-06-28 14:01,0.0,0.0,0.0,,0.0,,8.7,64.5,25.79,6.5,
2012-06-29,1000.2,1003.2,1003.9,2012-06-29 23:52,997.2,2012-06-29 01:56,29.3,32.2,2012-06-29 09:44,27.9,2012-06-29 00:15,24.5,76,64,2012-06-29 08:44,4.2,180.0,14.9,190.0,2012-06-29 12:22,0.0,0.0,0.0,,0.0,,4.9,36.3,17.46,10.5,
2012-06-30,1004.2,1007.2,1007.5,2012-06-30 22:53,1002.6,2012-06-30 17:26,30.1,33.8,2012-06-30 13:20,26.7,2012-06-30 05:19,24.6,73,60,2012-06-30 15:14,3.5,190.0,13.8,200.0,2012-06-30 15:53,0.0,0.0,0.0,,0.0,,10.5,77.9,26.83,14.6,
2012-07-01,1006.6,1009.7,1008.5,2012-07-01 21:42,1004.5,2012-07-01 15:39,30.0,33.4,2012-07-01 11:34,28.0,2012-07-01 04:21,25.1,75,60,2012-07-01 09:28,2.2,270.0,9.4,210.0,2012-07-01 13:45,T,0.2,-9.8,2012-07-01 22:30,-9.8,2012-07-01 22:30,11.8,87.5,29.53,14.9,
2012-07-02,1004.9,1007.9,1008.0,2012-07-02 00:01,1003.0,2012-07-02 16:45,29.7,33.2,2012-07-02 12:54,27.9,2012-07-02 05:20,25.3,77,66,2012-07-02 12:53,2.2,300.0,8.0,330.0,2012-07-02 11:18,0.0,0.0,0.0,,0.0,,5.8,43.0,21.61,12.3,
2012-07-03,1002.3,1005.3,1004.7,2012-07-03 00:01,1000.5,2012-07-03 16:46,29.7,32.7,2012-07-03 11:13,27.7,2012-07-03 03:44,25.0,76,64,2012-07-03 16:33,1.8,300.0,7.9,330.0,2012-07-03 13:27,0.0,0.0,0.0,,0.0,,8.3,61.6,25.86,13.4,
2012-07-04,1002.0,1005.0,1004.0,2012-07-04 21:35,1000.6,2012-07-04 16:00,29.9,32.8,2012-07-04 13:05,27.6,2012-07-04 05:42,25.3,77,65,2012-07-04 11:08,2.8,330.0,9.7,310.0,2012-07-04 15:04,0.0,0.0,0.0,,0.0,,5.7,42.3,21.49,10.1,
2012-07-05,1003.7,1006.7,1006.2,2012-07-05 22:27,1002.3,2012-07-05 04:04,30.1,34.8,2012-07-05 12:53,27.9,2012-07-05 05:10,25.5,77,60,2012-07-05 14:05,1.8,210.0,9.8,220.0,2012-07-05 14:37,13.0,2.4,6.0,2012-07-05 16:58,12.5,2012-07-05 16:31,7.4,55.0,24.26,12.3,
2012-07-06,1004.7,1007.7,1005.8,2012-07-06 00:01,1003.7,2012-07-06 17:18,29.2,32.9,2012-07-06 10:28,27.5,2012-07-06 04:53,25.4,80,65,2012-07-06 11:35,2.9,200.0,12.5,200.0,2012-07-06 15:12,T,0.2,-9.8,2012-07-06 13:10,-9.8,2012-07-06 13:10,5.4,40.1,19.10,10.9,
2012-07-07,1004.2,1007.2,1005.3,2012-07-07 21:12,1003.1,2012-07-07 16:25,29.6,33.1,2012-07-07 13:28,27.0,2012-07-07 04:30,25.1,77,60,2012-07-07 13:13,2.5,200.0,8.5,250.0,2012-07-07 14:01,0.0,0.0,0.0,,0.0,,12.0,89.2,30.19,13.4,
2012-07-08,1003.9,1007.0,1005.4,2012-07-08 22:00,1002.4,2012-07-08 03:57,29.7,32.5,2012-07-08 13:41,27.8,2012-07-08 05:29,25.5,78,65,2012-07-08 13:08,1.6,250.0,8.4,240.0,2012-07-08 13:53,0.0,0.0,0.0,,0.0,,7.2,53.6,24.51,13.3,
2012-07-09,1004.5,1007.5,1005.5,2012-07-09 07:46,1003.3,2012-07-09 16:37,29.9,32.9,2012-07-09 12:14,27.6,2012-07-09 04:44,25.2,76,64,2012-07-09 12:13,2.0,310.0,9.0,350.0,2012-07-09 13:00,0.0,0.0,0.0,,0.0,,10.4,77.4,29.72,12.8,
2012-07-10,1003.9,1006.9,1005.7,2012-07-10 08:21,1002.4,2012-07-10 16:46,29.7,33.2,2012-07-10 13:05,27.4,2012-07-10 04:24,25.3,77,64,2012-07-10 12:15,2.2,260.0,7.2,280.0,2012-07-10 14:24,0.0,0.0,0.0,,0.0,,10.9,81.2,31.73,18.3,
2012-07-11,1003.9,1006.9,1004.8,2012-07-11 09:27,1002.7,2012-07-11 02:29,29.8,32.7,2012-07-11 12:14,28.5,2012-07-11 00:06,25.1,77,65,2012-07-11 12:05,2.7,240.0,8.8,310.0,2012-07-11 13:54,0.0,0.0,0.0,,0.0,,9.3,69.3,25.50,16.9,
2012-07-12,1004.9,1007.9,1006.7,2012-07-12 09:39,1003.3,2012-07-12 01:23,29.8,32.9,2012-07-12 12:18,27.5,2012-07-12 05:27,25.0,76,63,2012-07-12 12:54,2.4,190.0,9.0,240.0,2012-07-12 13:07,0.0,0.0,0.0,,0.0,,11.4,85.0,29.31,14.3,
2012-07-13,1004.9,1007.9,1006.3,2012-07-13 10:18,1002.9,2012-07-13 17:05,29.7,33.3,2012-07-13 13:59,27.5,2012-07-13 05:40,24.9,76,60,2012-07-13 13:59,2.4,260.0,9.4,260.0,2012-07-13 10:13,0.0,0.0,0.0,,0.0,,8.9,66.4,23.68,21.3,
2012-07-14,1004.1,1007.1,1005.6,2012-07-14 22:45,1002.6,2012-07-14 16:33,29.4,32.9,2012-07-14 14:05,26.4,2012-07-14 07:48,25.5,80,62,2012-07-14 14:12,2.5,220.0,7.7,230.0,2012-07-14 07:25,13.0,2.2,4.5,2012-07-14 04:16,8.0,2012-07-14 03:28,8.0,59.8,23.66,12.9,
2012-07-15,1004.9,1008.0,1006.0,2012-07-15 09:13,1003.7,2012-07-15 15:27,28.6,32.3,2012-07-15 11:40,26.0,2012-07-15 05:43,25.5,84,69,2012-07-15 11:39,2.2,190.0,10.0,330.0,2012-07-15 12:06,45.5,2.9,15.0,2012-07-15 09:11,25.0,2012-07-15 08:40,4.3,32.2,16.49,15.5,
2012-07-16,1005.5,1008.5,1006.7,2012-07-16 20:22,1004.2,2012-07-16 15:59,29.5,32.6,2012-07-16 14:08,27.1,2012-07-16 05:21,25.4,79,69,2012-07-16 10:40,2.3,140.0,8.1,260.0,2012-07-16 14:18,0.0,0.0,0.0,,0.0,,4.4,32.9,19.28,12.3,
2012-07-17,1004.9,1007.9,1006.1,2012-07-17 00:01,1003.4,2012-07-17 15:46,30.0,33.4,2012-07-17 13:47,27.4,2012-07-17 05:18,25.0,75,63,2012-07-17 12:21,1.8,260.0,7.0,260.0,2012-07-17 13:27,0.0,0.0,0.0,,0.0,,10.7,80.1,28.48,12.4,
2012-07-18,1004.9,1008.0,1006.2,2012-07-18 11:49,1003.2,2012-07-18 16:37,28.5,31.8,2012-07-18 10:40,25.6,2012-07-18 12:26,25.6,85,73,2012-07-18 10:40,1.2,90.0,8.0,250.0,2012-07-18 11:27,54.5,3.3,18.0,2012-07-18 11:45,48.0,2012-07-18 11:25,1.3,9.7,9.07,12.5,
2012-07-19,1004.5,1007.5,1005.7,2012-07-19 00:09,1002.5,2012-07-19 16:12,29.4,33.4,2012-07-19 12:34,26.8,2012-07-19 05:34,25.4,80,63,2012-07-19 12:34,1.4,320.0,7.8,280.0,2012-07-19 16:13,3.5,1.5,1.0,2012-07-19 18:28,3.0,2012-07-19 18:25,8.6,64.5,26.61,14.9,
2012-07-20,1001.9,1004.9,1004.4,2012-07-20 00:01,999.3,2012-07-20 16:47,29.8,32.7,2012-07-20 14:15,27.3,2012-07-20 05:17,26.0,81,69,2012-07-20 11:18,2.2,20.0,7.7,320.0,2012-07-20 13:49,0.0,0.0,0.0,,0.0,,4.2,31.5,18.52,7.8,
2012-07-21,999.8,1002.8,1001.1,2012-07-21 00:01,998.4,2012-07-21 15:02,29.8,34.0,2012-07-21 10:44,27.5,2012-07-21 18:42,25.7,79,66,2012-07-21 10:43,2.2,190.0,11.9,190.0,2012-07-21 14:24,0.0,0.0,0.0,,0.0,,7.2,54.1,24.05,5.9,
2012-07-22,999.2,1002.3,1000.6,2012-07-22 00:01,997.6,2012-07-22 14:54,27.9,32.1,2012-07-22 12:14,25.8,2012-07-22 01:35,24.7,83,69,2012-07-22 12:11,2.6,70.0,11.1,170.0,2012-07-22 16:29,6.0,3.1,1.0,2012-07-22 01:20,3.0,2012-07-22 00:51,0.8,6.0,12.73,11.0,
2012-07-23,999.5,1002.5,1001.9,2012-07-23 22:35,998.1,2012-07-23 15:36,29.4,34.5,2012-07-23 12:23,26.1,2012-07-23 04:42,24.6,76,59,2012-07-23 11:57,2.0,330.0,8.4,140.0,2012-07-23 02:32,3.0,0.8,1.8,2012-07-23 18:05,3.0,2012-07-23 18:05,3.8,28.6,19.99,13.1,
2012-07-24,1003.0,1006.1,1005.8,2012-07-24 22:57,1000.6,2012-07-24 02:49,28.1,33.0,2012-07-24 12:32,24.8,2012-07-24 16:54,24.5,82,66,2012-07-24 10:48,2.1,60.0,13.9,160.0,2012-07-24 14:08,61.0,4.4,17.5,2012-07-24 14:06,52.5,2012-07-24 14:00,2.1,15.8,12.62,10.0,
2012-07-25,1005.8,1008.9,1007.1,2012-07-25 20:22,1004.5,2012-07-25 02:21,26.9,31.0,2012-07-25 12:37,23.7,2012-07-25 15:40,23.9,84,71,2012-07-25 10:54,1.7,310.0,15.2,20.0,2012-07-25 15:27,51.0,2.6,24.5,2012-07-25 15:29,48.0,2012-07-25 15:24,1.1,8.3,12.00,11.1,
2012-07-26,1004.4,1007.5,1005.9,2012-07-26 00:01,1002.8,2012-07-26 16:30,28.2,31.2,2012-07-26 13:14,25.4,2012-07-26 00:01,24.1,79,69,2012-07-26 17:47,1.6,310.0,7.4,320.0,2012-07-26 15:53,0.0,0.0,0.0,,0.0,,7.3,55.2,25.51,12.9,
2012-07-27,1002.9,1005.9,1004.0,2012-07-27 08:30,1001.4,2012-07-27 14:33,28.9,32.7,2012-07-27 14:51,26.5,2012-07-27 05:10,24.1,75,63,2012-07-27 14:51,1.4,320.0,7.3,320.0,2012-07-27 13:27,0.0,0.0,0.0,,0.0,,7.2,54.5,23.54,12.8,
2012-07-28,1002.7,1005.7,1004.0,2012-07-28 11:16,1001.6,2012-07-28 17:56,28.6,31.9,2012-07-28 14:51,26.0,2012-07-28 03:34,23.8,76,68,2012-07-28 14:40,1.1,70.0,5.0,280.0,2012-07-28 15:01,0.0,0.0,0.0,,0.0,,2.6,19.7,14.20,10.3,
2012-07-29,1000.1,1003.1,1003.0,2012-07-29 00:01,997.4,2012-07-29 16:44,29.6,33.7,2012-07-29 14:04,27.2,2012-07-29 05:24,25.3,78,65,2012-07-29 14:03,2.0,350.0,8.2,290.0,2012-07-29 14:09,0.0,0.0,0.0,,0.0,,7.9,59.9,24.81,8.5,
2012-07-30,994.8,997.8,998.6,2012-07-30 00:01,992.4,2012-07-30 17:49,29.8,33.3,2012-07-30 12:49,27.4,2012-07-30 02:39,25.1,76,64,2012-07-30 12:33,2.0,140.0,8.3,320.0,2012-07-30 13:30,0.0,0.0,0.0,,0.0,,3.0,22.8,17.36,7.5,
2012-07-31,990.0,993.0,993.6,2012-07-31 00:01,987.1,2012-07-31 16:10,28.1,30.1,2012-07-31 10:44,26.7,2012-07-31 03:45,25.7,87,76,2012-07-31 12:02,2.4,20.0,9.1,360.0,2012-07-31 15:15,4.0,4.5,1.0,2012-07-31 03:02,1.5,2012-07-31 02:12,0.0,0.0,7.35,5.0,
2012-08-01,986.3,989.3,988.6,2012-08-01 23:26,984.7,2012-08-01 16:13,28.3,32.4,2012-08-01 12:02,25.6,2012-08-01 23:57,25.3,84,69,2012-08-01 11:57,5.9,10.0,25.9,360.0,2012-08-01 20:38,2.5,2.6,0.5,2012-08-01 17:07,2.0,2012-08-01 22:58,1.0,7.6,13.08,9.3,
2012-08-02,991.8,994.8,994.9,2012-08-02 22:47,986.9,2012-08-02 02:53,25.2,26.7,2012-08-02 00:53,24.6,2012-08-02 05:32,24.3,95,89,2012-08-02 09:40,6.2,320.0,26.5,320.0,2012-08-02 04:23,77.0,18.7,5.5,2012-08-02 03:11,17.5,2012-08-02 02:34,0.0,0.0,2.34,4.4,
2012-08-03,996.5,999.5,998.2,2012-08-03 23:01,994.5,2012-08-03 00:01,28.2,30.9,2012-08-03 14:18,24.9,2012-08-03 00:49,26.1,89,82,2012-08-03 14:33,4.1,200.0,12.2,220.0,2012-08-03 13:46,0.0,0.0,0.0,,0.0,,0.4,3.1,11.32,6.5,
2012-08-04,998.7,1001.7,1000.6,2012-08-04 23:24,997.3,2012-08-04 03:00,28.1,30.2,2012-08-04 14:23,25.9,2012-08-04 06:35,25.9,88,79,2012-08-04 17:30,2.2,180.0,9.2,200.0,2012-08-04 02:25,25.5,2.3,9.5,2012-08-04 06:31,21.0,2012-08-04 06:19,0.1,0.8,9.46,5.4,
2012-08-05,999.9,1003.0,1001.0,2012-08-05 09:24,998.6,2012-08-05 15:55,29.1,33.0,2012-08-05 12:14,26.1,2012-08-05 03:47,25.4,81,67,2012-08-05 12:14,1.8,270.0,6.6,270.0,2012-08-05 13:41,0.0,0.0,0.0,,0.0,,7.6,58.1,25.82,5.9,
2012-08-06,999.3,1002.3,1000.8,2012-08-06 00:01,997.6,2012-08-06 18:22,29.0,32.8,2012-08-06 13:21,26.5,2012-08-06 06:06,24.8,79,63,2012-08-06 14:16,1.8,330.0,6.7,310.0,2012-08-06 13:32,0.0,0.0,0.0,,0.0,,5.1,39.1,20.71,5.1,
2012-08-07,997.9,1001.0,999.6,2012-08-07 00:01,996.0,2012-08-07 16:19,27.8,31.7,2012-08-07 11:44,25.4,2012-08-07 08:36,25.9,89,77,2012-08-07 11:43,2.5,250.0,9.1,240.0,2012-08-07 13:43,42.0,2.5,21.5,2012-08-07 13:58,31.0,2012-08-07 13:30,1.4,10.7,12.27,4.5,
2012-08-08,997.6,1000.7,999.0,2012-08-08 23:19,996.4,2012-08-08 14:04,28.5,32.0,2012-08-08 12:56,25.5,2012-08-08 00:09,26.4,89,72,2012-08-08 13:36,3.3,210.0,10.3,210.0,2012-08-08 16:44,14.0,1.4,7.5,2012-08-08 04:31,10.0,2012-08-08 03:42,5.8,44.6,21.56,8.8,
2012-08-09,999.6,1002.7,1001.7,2012-08-09 22:44,997.6,2012-08-09 02:22,26.7,30.9,2012-08-09 13:56,24.2,2012-08-09 06:11,24.9,90,70,2012-08-09 13:56,3.3,170.0,10.9,110.0,2012-08-09 02:23,88.5,10.5,14.5,2012-08-09 01:51,29.0,2012-08-09 01:29,0.2,1.5,10.78,4.2,
2012-08-10,1002.8,1005.9,1004.7,2012-08-10 22:43,1000.7,2012-08-10 00:38,26.4,31.5,2012-08-10 10:44,23.2,2012-08-10 01:19,24.9,91,78,2012-08-10 10:44,3.3,130.0,12.7,190.0,2012-08-10 11:01,72.0,7.6,16.0,2012-08-10 00:30,47.0,2012-08-10 00:11,1.8,13.9,11.72,8.1,
2012-08-11,1004.5,1007.6,1006.0,2012-08-11 21:44,1003.2,2012-08-11 02:03,26.7,30.1,2012-08-11 14:19,23.8,2012-08-11 05:43,25.0,91,78,2012-08-11 14:39,3.0,180.0,11.3,270.0,2012-08-11 04:28,81.5,7.6,17.0,2012-08-11 04:23,46.0,2012-08-11 04:21,2.2,17.0,14.88,8.3,
2012-08-12,1003.7,1006.8,1005.0,2012-08-12 00:01,1001.9,2012-08-12 16:10,27.9,31.7,2012-08-12 11:06,26.2,2012-08-12 04:35,25.3,86,74,2012-08-12 11:02,2.7,170.0,9.3,270.0,2012-08-12 11:38,2.5,1.5,1.0,2012-08-12 11:31,2.0,2012-08-12 11:20,5.0,38.6,17.86,12.9,
2012-08-13,1002.8,1005.9,1004.2,2012-08-13 00:01,1001.2,2012-08-13 16:03,29.0,32.5,2012-08-13 11:57,26.2,2012-08-13 03:07,25.3,81,69,2012-08-13 13:25,2.0,260.0,7.5,210.0,2012-08-13 14:33,0.0,0.0,0.0,,0.0,,10.0,77.4,26.33,12.6,
